scientific_name_clean,scientific_name_raw,scientific_name_display,scientific_name_clean_original,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,diet_pct_fruit_n,diet_pct_fruit_min,diet_pct_fruit_max,max_longevity_years_pantheria,max_longevity_pantheria_n,included_in_core_non_nocturnal_build,included_in_core_conflict,order,order_conflict,foraging_stratum_eltontraits,foraging_stratum_conflict,abs_latitude_mid_dd,abs_latitude_mid_pantheria,lat_mid_dd_pantheria,lat_midrange_dd_pantheria,lat_min_dd_pantheria,lat_max_dd_pantheria,anage_longevity_years,longevity_years,log_longevity,abs_latitude,uv_i,arboreal_i,luv_raw,z_frugivory,z_luv,z_lifetime,miss_routine,miss_z_frug,miss_z_luv,miss_arboreal,complete_full_model
propithecus verreauxi,Propithecus verreauxi,Propithecus verreauxi,propithecus verreauxi,propithecus verreauxi,1,1,0,FALSE,30,1,30,30,20.6,1,1,FALSE,primates,FALSE,arboreal,FALSE,22.63,NA,-22.63,NA,-25.58,-19.68,31,20.6,3.0252910757955354,22.630000000000003,0.9230088740101037,0.1,19.013982804608137,-0.5472067671283634,-0.9151814463345433,-0.6928298668104343,FALSE,FALSE,FALSE,FALSE,TRUE
pygathrix nemaeus,Pygathrix nemaeus,Pygathrix nemaeus,pygathrix nemaeus,pygathrix nemaeus,1,1,1,FALSE,20,1,20,20,25,1,1,FALSE,primates,FALSE,arboreal,FALSE,16.63,NA,16.63,NA,13.71,19.55,26,25,3.2188758248682006,16.630000000000003,0.9581728570278079,0.1,23.954321425695195,-1.0510373880819177,-0.4268581038609407,-0.35275218467879993,FALSE,FALSE,FALSE,FALSE,TRUE
rhinopithecus roxellana,Rhinopithecus roxellana,Rhinopithecus roxellana,rhinopithecus roxellana,rhinopithecus roxellana,1,1,1,FALSE,10,1,10,10,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,32.32,NA,32.32,NA,29.34,35.31,29.5,29.5,3.3843902633457743,32.32,0.8450752575720964,0.1,24.929720098376844,-1.5548680090354718,-0.33044569640871374,-0.00494546431690096,FALSE,FALSE,FALSE,FALSE,TRUE
saguinus bicolor,Saguinus bicolor,Saguinus bicolor,saguinus bicolor,saguinus bicolor,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,1.74,NA,-1.74,NA,-3.18,-0.29,19,19,2.9444389791664403,1.74,0.9995389055889605,0.1,18.99123920619025,-0.5472067671283634,-0.9174295169327599,-0.8164944784946653,FALSE,FALSE,FALSE,FALSE,TRUE
saguinus fuscicollis,Saguinus fuscicollis,Saguinus fuscicollis,saguinus fuscicollis,saguinus fuscicollis,1,1,0,FALSE,30,1,30,30,24.5,1,1,FALSE,primates,FALSE,arboreal,FALSE,5.28,NA,-5.28,NA,-13.75,3.18,NA,24.5,3.1986731175506815,5.28,0.9957568809385692,0.1,24.396043582994945,-0.5472067671283634,-0.3831964731831225,-0.391397375830122,FALSE,FALSE,FALSE,FALSE,TRUE
saguinus geoffroyi,Saguinus geoffroyi,Saguinus geoffroyi,saguinus geoffroyi,saguinus geoffroyi,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,6.88,NA,6.88,NA,4.12,9.63,20.5,20.5,3.0204248861443626,6.88,0.9927992171141706,0.1,20.352383950840498,-0.5472067671283634,-0.7828883847802167,-0.700558905040699,FALSE,FALSE,FALSE,FALSE,TRUE
saguinus imperator,Saguinus imperator,Saguinus imperator,saguinus imperator,saguinus imperator,1,1,0,FALSE,30,1,30,30,20.2,1,1,FALSE,primates,FALSE,arboreal,FALSE,9.23,NA,-9.23,NA,-11.63,-6.83,23.7,20.2,3.005682604407159,9.229999999999999,0.9870524161681935,0.1,19.93845880659751,-0.5472067671283634,-0.8238024446197278,-0.7237460197314922,FALSE,FALSE,FALSE,FALSE,TRUE
saguinus leucopus,Saguinus leucopus,Saguinus leucopus,saguinus leucopus,saguinus leucopus,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,6.3,NA,6.3,NA,3.82,8.78,15.2,15.2,2.7212954278522306,6.3,0.9939609554551797,0.1,15.108206522918731,-0.5472067671283634,-1.3012444017537848,-1.1101979312447132,FALSE,FALSE,FALSE,FALSE,TRUE
saguinus midas,Saguinus midas,Saguinus midas,saguinus midas,saguinus midas,1,1,0,FALSE,30,1,30,30,15.4,1,1,FALSE,primates,FALSE,arboreal,FALSE,0.17,NA,-0.17,NA,-8.37,8.02,21,15.4,2.7343675094195836,0.17,0.9999955982815133,0.1,15.399932213535305,-0.5472067671283634,-1.2724090373681833,-1.0947398547841845,FALSE,FALSE,FALSE,FALSE,TRUE
saguinus mystax,Saguinus mystax,Saguinus mystax,saguinus mystax,saguinus mystax,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,6.23,NA,-6.23,NA,-9.82,-2.65,20,20,2.995732273553991,6.23,0.9940942793684235,0.1,19.881885587368473,-0.5472067671283634,-0.8293943737620944,-0.739204096192021,FALSE,FALSE,FALSE,FALSE,TRUE
saguinus oedipus,Saguinus oedipus,Saguinus oedipus,saguinus oedipus,saguinus oedipus,1,1,0,FALSE,30,1,30,30,23.1,1,1,FALSE,primates,FALSE,arboreal,FALSE,9.22,NA,9.22,NA,7.42,11.02,26.2,23.1,3.139832617527748,9.219999999999999,0.987080395871597,0.1,22.801557144633893,-0.5472067671283634,-0.5408020558826284,-0.49960391105382385,FALSE,FALSE,FALSE,FALSE,TRUE
saimiri boliviensis,Saimiri boliviensis,Saimiri boliviensis,saimiri boliviensis,saimiri boliviensis,1,1,0,FALSE,20,1,20,20,NA,0,1,FALSE,primates,FALSE,arboreal,FALSE,11.05,NA,-11.05,NA,-19.4,-2.7,30.3,30.3,3.4111477125153233,11.05,0.9814602974323101,0.1,29.738247012198997,-1.0510373880819177,0.14484883601652274,0.05688684152521447,FALSE,FALSE,FALSE,FALSE,TRUE
