tree_tip_raw,tree_tip_display,tree_tip_clean_original,tree_tip_clean,was_remapped
Cercopithecus_erythrotis,Cercopithecus erythrotis,cercopithecus erythrotis,cercopithecus erythrotis,FALSE
Cercopithecus_hamlyni,Cercopithecus hamlyni,cercopithecus hamlyni,cercopithecus hamlyni,FALSE
Cercopithecus_lhoesti,Cercopithecus lhoesti,cercopithecus lhoesti,cercopithecus lhoesti,FALSE
Cercopithecus_mitis,Cercopithecus mitis,cercopithecus mitis,cercopithecus mitis,FALSE
Cercopithecus_mona,Cercopithecus mona,cercopithecus mona,cercopithecus mona,FALSE
Cercopithecus_neglectus,Cercopithecus neglectus,cercopithecus neglectus,cercopithecus neglectus,FALSE
Cercopithecus_nictitans,Cercopithecus nictitans,cercopithecus nictitans,cercopithecus nictitans,FALSE
Cercopithecus_petaurista,Cercopithecus petaurista,cercopithecus petaurista,cercopithecus petaurista,FALSE
Cercopithecus_pogonias,Cercopithecus pogonias,cercopithecus pogonias,cercopithecus pogonias,FALSE
Cercopithecus_preussi,Cercopithecus preussi,cercopithecus preussi,cercopithecus preussi,FALSE
Cercopithecus_solatus,Cercopithecus solatus,cercopithecus solatus,cercopithecus solatus,FALSE
Cercopithecus_wolfi,Cercopithecus wolfi,cercopithecus wolfi,cercopithecus wolfi,FALSE
Cheirogaleus_crossleyi,Cheirogaleus crossleyi,cheirogaleus crossleyi,cheirogaleus crossleyi,FALSE
Cheirogaleus_major,Cheirogaleus major,cheirogaleus major,cheirogaleus major,FALSE
Cheirogaleus_medius,Cheirogaleus medius,cheirogaleus medius,cheirogaleus medius,FALSE
Chiropotes_satanas,Chiropotes satanas,chiropotes satanas,chiropotes satanas,FALSE
Chlorocebus_aethiops,Chlorocebus aethiops,chlorocebus aethiops,chlorocebus aethiops,FALSE
Chlorocebus_pygerythrus,Chlorocebus pygerythrus,chlorocebus pygerythrus,chlorocebus pygerythrus,FALSE
Chlorocebus_pygerythrus_cynosurus,Chlorocebus pygerythrus cynosurus,chlorocebus pygerythrus,chlorocebus pygerythrus,FALSE
Chlorocebus_sabaeus,Chlorocebus sabaeus,chlorocebus sabaeus,chlorocebus sabaeus,FALSE
Chlorocebus_tantalus,Chlorocebus tantalus,chlorocebus tantalus,chlorocebus tantalus,FALSE
Colobus_angolensis,Colobus angolensis,colobus angolensis,colobus angolensis,FALSE
Colobus_angolensis_palliatus,Colobus angolensis palliatus,colobus angolensis,colobus angolensis,FALSE
Colobus_guereza,Colobus guereza,colobus guereza,colobus guereza,FALSE
Colobus_polykomos,Colobus polykomos,colobus polykomos,colobus polykomos,FALSE
Colobus_satanas,Colobus satanas,colobus satanas,colobus satanas,FALSE
Colobus_vellerosus,Colobus vellerosus,colobus vellerosus,colobus vellerosus,FALSE
Daubentonia_madagascariensis,Daubentonia madagascariensis,daubentonia madagascariensis,daubentonia madagascariensis,FALSE
Erythrocebus_patas,Erythrocebus patas,erythrocebus patas,erythrocebus patas,FALSE
Eulemur_coronatus,Eulemur coronatus,eulemur coronatus,eulemur coronatus,FALSE
Eulemur_fulvus_albifrons,Eulemur fulvus albifrons,eulemur fulvus,eulemur fulvus,FALSE
Eulemur_fulvus_albocollaris,Eulemur fulvus albocollaris,eulemur fulvus,eulemur fulvus,FALSE
Eulemur_fulvus_collaris,Eulemur fulvus collaris,eulemur fulvus,eulemur fulvus,FALSE
Eulemur_fulvus_fulvus,Eulemur fulvus fulvus,eulemur fulvus,eulemur fulvus,FALSE
Eulemur_fulvus_mayottensis,Eulemur fulvus mayottensis,eulemur fulvus,eulemur fulvus,FALSE
Eulemur_fulvus_rufus,Eulemur fulvus rufus,eulemur fulvus,eulemur fulvus,FALSE
Eulemur_fulvus_sanfordi,Eulemur fulvus sanfordi,eulemur fulvus,eulemur fulvus,FALSE
Eulemur_macaco_flavifrons,Eulemur macaco flavifrons,eulemur macaco,eulemur macaco,FALSE
Eulemur_macaco_macaco,Eulemur macaco macaco,eulemur macaco,eulemur macaco,FALSE
