scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,was_merged
Trachypithecus vetulus,Trachypithecus vetulus,trachypithecus vetulus,trachypithecus vetulus,FALSE
Allocebus trichotis,Allocebus trichotis,allocebus trichotis,allocebus trichotis,FALSE
Phaner furcifer,Phaner furcifer,phaner furcifer,phaner furcifer,FALSE
Gorilla beringei,Gorilla beringei,gorilla beringei,gorilla beringei,FALSE
Gorilla gorilla,Gorilla gorilla,gorilla gorilla,gorilla gorilla,FALSE
Homo sapiens,Homo sapiens,homo sapiens,homo sapiens,FALSE
Pan paniscus,Pan paniscus,pan paniscus,pan paniscus,FALSE
Pan troglodytes,Pan troglodytes,pan troglodytes,pan troglodytes,FALSE
Pongo abelii,Pongo abelii,pongo abelii,pongo abelii,FALSE
Pongo pygmaeus,Pongo pygmaeus,pongo pygmaeus,pongo pygmaeus,FALSE
Bunopithecus hoolock,Bunopithecus hoolock,bunopithecus hoolock,bunopithecus hoolock,FALSE
Hylobates agilis,Hylobates agilis,hylobates agilis,hylobates agilis,FALSE
Hylobates albibarbis,Hylobates albibarbis,hylobates albibarbis,hylobates albibarbis,FALSE
Hylobates klossii,Hylobates klossii,hylobates klossii,hylobates klossii,FALSE
Hylobates lar,Hylobates lar,hylobates lar,hylobates lar,FALSE
Hylobates moloch,Hylobates moloch,hylobates moloch,hylobates moloch,FALSE
Hylobates muelleri,Hylobates muelleri,hylobates muelleri,hylobates muelleri,FALSE
Hylobates pileatus,Hylobates pileatus,hylobates pileatus,hylobates pileatus,FALSE
Nomascus concolor,Nomascus concolor,nomascus concolor,nomascus concolor,FALSE
Nomascus gabriellae,Nomascus gabriellae,nomascus gabriellae,nomascus gabriellae,FALSE
Nomascus hainanus,Nomascus hainanus,nomascus hainanus,nomascus hainanus,FALSE
Nomascus leucogenys,Nomascus leucogenys,nomascus leucogenys,nomascus leucogenys,FALSE
Nomascus siki,Nomascus siki,nomascus siki,nomascus siki,FALSE
Symphalangus syndactylus,Symphalangus syndactylus,symphalangus syndactylus,symphalangus syndactylus,FALSE
Avahi occidentalis,Avahi occidentalis,avahi occidentalis,avahi occidentalis,FALSE
Indri indri,Indri indri,indri indri,indri indri,FALSE
Propithecus coquereli,Propithecus coquereli,propithecus coquereli,propithecus coquereli,FALSE
Propithecus deckenii,Propithecus deckenii,propithecus deckenii,propithecus deckenii,FALSE
Propithecus diadema,Propithecus diadema,propithecus diadema,propithecus diadema,FALSE
Propithecus edwardsi,Propithecus edwardsi,propithecus edwardsi,propithecus edwardsi,FALSE
Propithecus perrieri,Propithecus perrieri,propithecus perrieri,propithecus perrieri,FALSE
Propithecus tattersalli,Propithecus tattersalli,propithecus tattersalli,propithecus tattersalli,FALSE
Propithecus verreauxi,Propithecus verreauxi,propithecus verreauxi,propithecus verreauxi,FALSE
Eulemur albifrons,Eulemur albifrons,eulemur albifrons,eulemur albifrons,FALSE
Eulemur albocollaris,Eulemur albocollaris,eulemur albocollaris,eulemur albocollaris,FALSE
Eulemur cinereiceps,Eulemur cinereiceps,eulemur cinereiceps,eulemur cinereiceps,FALSE
Eulemur collaris,Eulemur collaris,eulemur collaris,eulemur collaris,FALSE
Eulemur coronatus,Eulemur coronatus,eulemur coronatus,eulemur coronatus,FALSE
Eulemur fulvus,Eulemur fulvus,eulemur fulvus,eulemur fulvus,FALSE
Eulemur macaco,Eulemur macaco,eulemur macaco,eulemur macaco,FALSE
Eulemur mongoz,Eulemur mongoz,eulemur mongoz,eulemur mongoz,FALSE
Eulemur rubriventer,Eulemur rubriventer,eulemur rubriventer,eulemur rubriventer,FALSE
Eulemur rufus,Eulemur rufus,eulemur rufus,eulemur rufus,FALSE
Eulemur sanfordi,Eulemur sanfordi,eulemur sanfordi,eulemur sanfordi,FALSE
Hapalemur alaotrensis,Hapalemur alaotrensis,hapalemur alaotrensis,hapalemur alaotrensis,FALSE
Hapalemur aureus,Hapalemur aureus,hapalemur aureus,hapalemur aureus,FALSE
Hapalemur griseus,Hapalemur griseus,hapalemur griseus,hapalemur griseus,FALSE
Hapalemur occidentalis,Hapalemur occidentalis,hapalemur occidentalis,hapalemur occidentalis,FALSE
Lemur catta,Lemur catta,lemur catta,lemur catta,FALSE
Prolemur simus,Prolemur simus,prolemur simus,prolemur simus,FALSE
Varecia rubra,Varecia rubra,varecia rubra,varecia rubra,FALSE
Varecia variegata,Varecia variegata,varecia variegata,varecia variegata,FALSE
Cacajao calvus,Cacajao calvus,cacajao calvus,cacajao calvus,FALSE
Cacajao melanocephalus,Cacajao melanocephalus,cacajao melanocephalus,cacajao melanocephalus,FALSE
Callicebus baptista,Callicebus baptista,callicebus baptista,callicebus baptista,FALSE
Callicebus barbarabrownae,Callicebus barbarabrownae,callicebus barbarabrownae,callicebus barbarabrownae,FALSE
Callicebus bernhardi,Callicebus bernhardi,callicebus bernhardi,callicebus bernhardi,FALSE
Callicebus brunneus,Callicebus brunneus,callicebus brunneus,callicebus brunneus,FALSE
Callicebus caligatus,Callicebus caligatus,callicebus caligatus,callicebus caligatus,FALSE
Callicebus cinerascens,Callicebus cinerascens,callicebus cinerascens,callicebus cinerascens,FALSE
Callicebus coimbrai,Callicebus coimbrai,callicebus coimbrai,callicebus coimbrai,FALSE
Callicebus cupreus,Callicebus cupreus,callicebus cupreus,callicebus cupreus,FALSE
Callicebus discolor,Callicebus discolor,callicebus discolor,callicebus discolor,FALSE
Callicebus donacophilus,Callicebus donacophilus,callicebus donacophilus,callicebus donacophilus,FALSE
Callicebus dubius,Callicebus dubius,callicebus dubius,callicebus dubius,FALSE
