scientific_name_clean,scientific_name_raw,scientific_name_display,scientific_name_clean_original,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,diet_pct_fruit_n,diet_pct_fruit_min,diet_pct_fruit_max,max_longevity_years_pantheria,max_longevity_pantheria_n,included_in_core_non_nocturnal_build,included_in_core_conflict,order,order_conflict,foraging_stratum_eltontraits,foraging_stratum_conflict,abs_latitude_mid_dd,abs_latitude_mid_pantheria,lat_mid_dd_pantheria,lat_midrange_dd_pantheria,lat_min_dd_pantheria,lat_max_dd_pantheria
callithrix marcai,Callithrix marcai,Callithrix marcai,callithrix marcai,callithrix marcai,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,9.95,NA,-9.95,NA,-12.06,-7.83
callithrix mauesi,Callithrix mauesi,Callithrix mauesi,callithrix mauesi,callithrix mauesi,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,3.2,NA,-3.2,NA,-3.45,-2.95
callithrix melanura,Callithrix melanura,Callithrix melanura,callithrix melanura,callithrix melanura,1,1,0,FALSE,40,1,40,40,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,14.23,NA,-14.23,NA,-19.88,-8.59
callithrix nigriceps,Callithrix nigriceps,Callithrix nigriceps,callithrix nigriceps,callithrix nigriceps,1,1,0,FALSE,0,1,0,0,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,7.49,NA,-7.49,NA,-8.8,-6.18
callithrix penicillata,Callithrix penicillata,Callithrix penicillata,callithrix penicillata,callithrix penicillata,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,12.68,NA,-12.68,NA,-23.03,-2.32
callithrix pygmaea,Callithrix pygmaea,Callithrix pygmaea,callithrix pygmaea,callithrix pygmaea,1,1,0,FALSE,0,1,0,0,15.1,1,1,FALSE,Primates,FALSE,arboreal,FALSE,5.96,NA,-5.96,NA,-12.52,0.59
callithrix saterei,Callithrix saterei,Callithrix saterei,callithrix saterei,callithrix saterei,1,1,0,FALSE,30,1,30,30,NA,0,1,FALSE,Primates,FALSE,arboreal,FALSE,5.14,NA,-5.14,NA,-6.34,-3.94
cebus albifrons,Cebus albifrons,Cebus albifrons,cebus albifrons,cebus albifrons,1,1,0,FALSE,20,1,20,20,44,1,1,FALSE,Primates,FALSE,arboreal,FALSE,0.82,NA,-0.82,NA,-13.21,11.56
cebus apella,Cebus apella,Cebus apella,cebus apella,cebus apella,1,1,0,FALSE,20,1,20,20,45.1,1,1,FALSE,Primates,FALSE,arboreal,FALSE,10.77,NA,-10.77,NA,-28.66,7.12
cebus capucinus,Cebus capucinus,Cebus capucinus,cebus capucinus,cebus capucinus,1,1,0,FALSE,20,1,20,20,54.8,1,1,FALSE,Primates,FALSE,arboreal,FALSE,8.74,NA,8.74,NA,1.46,16.02
