scientific_name,routine_trichromacy,diet_pct_fruit_eltontraits,z_frugivory,longevity_years,log_longevity,abs_latitude,uv,foraging_stratum_eltontraits,arboreal,uv_arb,luv_arb,z_uv_arb
Cebus xanthosternos,0,40,-0.04656425057311814,NA,NA,14.09,0.969914519353165,arboreal,0.1,0.0969914519353165,NA,-0.4590089866304579
Leontopithecus caissara,0,50,0.45732746098598,NA,NA,25.68,0.9012283419994114,arboreal,0.1,0.09012283419994115,NA,-0.47987636277513174
Leontopithecus chrysomelas,0,50,0.45732746098598,21.3,3.0587070727153796,15.01,0.965880639132367,arboreal,0.1,0.09658806391323671,2.057325761351942,-0.4602345097143299
Leontopithecus chrysopygus,0,50,0.45732746098598,17.9,2.884800712846709,21.99,0.9272492216291858,arboreal,0.1,0.09272492216291858,1.6597761067162424,-0.4719710242664353
Leontopithecus rosalia,0,50,0.45732746098598,24.8,3.2108436531709366,22.1,0.9265286308718373,arboreal,0.1,0.09265286308718373,2.2977910045621566,-0.4721899451462875
Saguinus bicolor,0,30,-0.5504559621322163,19,2.9444389791664403,1.74,0.9995389055889605,arboreal,0.1,0.09995389055889606,1.8991239206190251,-0.450008875771855
Saguinus fuscicollis,0,30,-0.5504559621322163,24.5,3.1986731175506815,5.28,0.9957568809385692,arboreal,0.1,0.09957568809385692,2.4396043582994946,-0.45115788324335365
Saguinus geoffroyi,0,30,-0.5504559621322163,20.5,3.0204248861443626,6.88,0.9927992171141706,arboreal,0.1,0.09927992171141707,2.03523839508405,-0.4520564437093896
Saguinus graellsi,0,40,-0.04656425057311814,NA,NA,1.96,0.9994149479166323,arboreal,0.1,0.09994149479166324,NA,-0.45004653504296516
Saguinus imperator,0,30,-0.5504559621322163,20.2,3.005682604407159,9.229999999999999,0.9870524161681935,arboreal,0.1,0.09870524161681936,1.993845880659751,-0.4538023649644137
Saguinus inustus,0,30,-0.5504559621322163,NA,NA,0.64,0.9999376150010865,arboreal,0.1,0.09999376150010865,NA,-0.4498877448602831
Saguinus labiatus,0,30,-0.5504559621322163,20.5,3.0204248861443626,6.4,0.9937679191605964,arboreal,0.1,0.09937679191605964,2.0372242342792224,-0.45176214475793147
Saguinus leucopus,0,30,-0.5504559621322163,15.2,2.7212954278522306,6.3,0.9939609554551797,arboreal,0.1,0.09939609554551798,1.5108206522918732,-0.45170349888297034
Saguinus martinsi,0,30,-0.5504559621322163,NA,NA,1.92,0.9994385817114643,arboreal,0.1,0.09994385817114643,NA,-0.4500393549187323
Saguinus melanoleucus,0,30,-0.5504559621322163,NA,NA,8.42,0.9892212800975134,arboreal,0.1,0.09892212800975135,NA,-0.45314344782615684
