scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,longevity_years,log_longevity,abs_latitude,uv_i,foraging_stratum_eltontraits,foraging_stratum_conflict,arboreal_i,luv_raw,z_frugivory,z_luv,z_lifetime
Cebus albifrons,Cebus albifrons,cebus albifrons,cebus albifrons,cebus albifrons,1,1,0,FALSE,20,44,3.784189633918261,0.8200000000000001,0.999897589371505,arboreal,FALSE,0.1,43.99549393234622,-1.0510373880819177,1.5540936276186497,1.1157650790714402
Cebus apella,Cebus apella,cebus apella,cebus apella,cebus apella,1,1,0,FALSE,20,45.1,3.8088822465086327,10.77,0.9823852287012823,arboreal,FALSE,0.1,44.30557381442783,-1.0510373880819177,1.584743195606885,1.2007844996043489
Cebus capucinus,Cebus capucinus,cebus capucinus,cebus capucinus,cebus capucinus,1,1,0,FALSE,20,54.8,4.00369019395397,8.739999999999998,0.9883880459536023,arboreal,FALSE,0.1,54.1636649182574,-1.0510373880819177,2.5591573739556757,1.9505012079399975
Cebus olivaceus,Cebus olivaceus,cebus olivaceus,cebus olivaceus,cebus olivaceus,1,1,0,FALSE,20,41,3.713572066704308,4.78,0.9965220076166375,arboreal,FALSE,0.1,40.85740231228213,-1.0510373880819177,1.2439117744239565,0.8838939321635075
Cercocebus agilis,Cercocebus agilis,cercocebus agilis,cercocebus agilis,cercocebus agilis,1,1,1,FALSE,70,31,3.4339872044851463,3.9,0.9976842788356053,arboreal,FALSE,0.1,30.928212643903763,1.4681157166858536,0.2624699221952111,0.11099010913706536
Cercocebus galeritus,Cercocebus galeritus,cercocebus galeritus,cercocebus galeritus,cercocebus galeritus,1,1,1,FALSE,70,21,3.044522437723423,2.1,0.9993283937786562,arboreal,FALSE,0.1,20.98589626935178,1.4681157166858536,-0.7202694275384638,-0.6619137138893768
Cercocebus torquatus,Cercocebus torquatus,cercocebus torquatus,cercocebus torquatus,cercocebus torquatus,1,1,1,FALSE,70,30,3.4011973816621555,4.2,0.9973144772244581,arboreal,FALSE,0.1,29.919434316733742,1.4681157166858536,0.16275813271665884,0.03369972683442115
Cercopithecus ascanius,Cercopithecus ascanius,cercopithecus ascanius,cercopithecus ascanius,cercopithecus ascanius,1,1,1,FALSE,50,28.3,3.342861804649192,2.71,0.9988816381214108,arboreal,FALSE,0.1,28.268350358835928,0.46045447477874507,-4.417810673477155e-4,-0.09769392308007396
Cercopithecus campbelli,Cercopithecus campbelli,cercopithecus campbelli,cercopithecus campbelli,cercopithecus campbelli,1,1,1,FALSE,50,33,3.4965075614664802,8.53,0.9889383349666097,arboreal,FALSE,0.1,32.63496505389812,0.46045447477874507,0.4311723342254076,0.2655708737423538
Cercopithecus cephus,Cercopithecus cephus,cercopithecus cephus,cercopithecus cephus,cercopithecus cephus,1,1,1,FALSE,50,23,3.1354942159291497,0.42000000000000004,0.9999731328638829,arboreal,FALSE,0.1,22.999382055869308,0.46045447477874507,-0.5212482298621429,-0.5073329492840883
